UNIVERSITY NAME,NAME OF MASTER PROGRAM,COUNTRY,CITY,LANG.,SEMESTER,Tuition fee(€)/SEMESTER,APPLY,START,REQUIREMENT,WEBSITE
Kozminski University,Big Data Science,Poland,Warsaw,English,4,2830,,01/09/21,IELTS 6 TOEFL 87,https://www.kozminski.edu.pl/en/programs/graduate-programs-master/master-big-data-science?utm_campaign=BDA_STUDYPORTALS_CLICKS&utm_medium=CPC&utm_source=StudyPortals
Kozminski University,Digital Marketing,Poland,Warsaw,English,4,,,01/09/21,IELTS 6 TOEFL 87,https://www.kozminski.edu.pl/en/digital-marketing-major?utm_source=Studyportals&utm_medium=link&utm_campaign=STUDYPORTALS+DIGITAL+MARKETING
University of Silesia in Katowice,Computer Science,Poland,Katowice,English,3,,01/09/21,01/03/22,ENG-B2,https://katalog.us.edu.pl/catalog/program/view?id=11854
Warsaw University of Technology,Artificial Intelligence  ,Poland,Warsaw,English,3,2700,01/07/21,01/10/21,ENG-B2,https://www.pw.edu.pl/engpw
Warsaw University of Technology,Data Science,Poland,Warsaw,English,4,3000,01/07/21,01/10/21,IELTS 6 TOEFL 87,https://www.pw.edu.pl/engpw
Warsaw University of Technology,Robotics,Poland,Warsaw,English,4,1650,01/07/21,01/10/21,ENG-B2,https://www.pw.edu.pl/engpw
UTP University of Science and Technology in Bydgoszcz,Computer Aided Engineering,Poland,Bydgoszcz,English,3,1109,,01/10/21,ENG-B2,https://www.utp.edu.pl/pl/
Wroclaw University of Science and Technology,Advanced Informatics and Control,Poland,Wroclaw,English,3,2000,01/11/21,01/02/22,IELTS 6.5 TOEFL 87,http://pwr.edu.pl/en/
Wroclaw University of Science and Technology,Internet Engineering,Poland,Wroclaw,English,3,2000,01/11/21,01/02/22,IELTS 6.5 TOEFL 87,http://pwr.edu.pl/en/
University of Wroclaw,Data Science,Poland,Wroclaw,English,4,,01/06/22,01/10/22,IELTS 6 TOEFL 72,https://uni.wroc.pl/en/
Silesian University of Technology,Informatics  ,Poland,Glivice,English,3,1250,01/02/22,01/03/22,IELTS 6 TOEFL 87,https://www-arch.polsl.pl/en/pages/welcome.aspx
Wroclaw University of Science and Technology,Computer Science and Technology,Poland,Wroclaw,English,4,2000,01/07/22,01/10/22,IELTS 6.5 TOEFL 87,http://pwr.edu.pl/en/
Lublin University of Technology,Mobile Application Development,Poland,Lublin,English,3,1500,01/07/22,01/10/22,IELTS 6.5 TOEFL 87,http://en.pollub.pl/
Wroclaw University of Science and Technology,Computer Security and Cryptography,Poland,Wroclaw,English,3,2000,01/11/21,01/02/22,IELTS 6.5 TOEFL 87,http://pwr.edu.pl/en/
Czestochowa University of Technology,Computational Intelligence and Data Mining,Poland,Czestochowa,English,4,960,,01/10/21,IELTS 6  ,https://www.pcz.pl/en/content/about-university
Warsaw School of Computer Science,IT Project Management,Poland,Warsaw,English,4,1350,01/06/22,01/10/22,IELTS 6 TOEFL 87,https://wscs.eu/
